neighborhood_municipality	individuals_tested	infections	reinfections	deaths	hospitalizations	tests	postives	ag_tests	positive_ag_tests	pcr_tests	positive_pcr_tests	update_date
Spring Garden (Pittsburgh)	442	612	59	1	9	1571	184	405	37	1166	147	2022-04-04
Spring Hill-City View (Pittsburgh)	1860	4404	320	15	55	9772	698	1626	119	8129	579	2022-04-04
Springdale Borough	2082	2532	101	14	51	6257	818	1650	182	4603	636	2022-04-04
Springdale Township	947	1294	56	3	23	3031	391	744	82	2281	309	2022-04-04
Squirrel Hill North (Pittsburgh)	12562	13727	575	9	28	77570	1956	7495	241	70078	1710	2022-04-04
Squirrel Hill South (Pittsburgh)	14678	18755	1102	46	117	64658	3635	6943	389	57714	3231	2022-04-04
St. Clair (Pittsburgh)	112	137	0	1	2	429	42	48	7	381	35	2022-04-04
Stanton Heights (Pittsburgh)	3116	4524	257	19	52	11580	1120	2648	215	8923	897	2022-04-04
Stowe	3904	5761	399	14	89	12720	1629	2940	303	9787	1324	2022-04-04
Strip District (Pittsburgh)	2429	1929	81	2	7	7658	595	2325	167	5330	425	2022-04-04
Summer Hill (Pittsburgh)	630	945	38	3	10	1956	262	485	50	1467	209	2022-04-04
Swisshelm Park (Pittsburgh)	944	886	55	4	13	3162	259	540	51	2622	208	2022-04-04
Swissvale	5753	6571	449	10	115	19885	1991	3527	293	16362	1694	2022-04-04
Tarentum	2656	3702	154	7	60	8645	1076	2371	271	6279	803	2022-04-04
Terrace Village (Pittsburgh)	1638	1897	95	4	32	5680	539	746	51	4939	487	2022-04-04
Thornburg	362	420	5	0	1	1026	133	259	42	765	90	2022-04-04
Trafford	27	41	4	0	0	84	15	28	11	55	4	2022-04-04
Troy Hill (Pittsburgh)	1832	1995	88	5	21	6180	603	1128	108	5053	495	2022-04-04
Turtle Creek	3412	4635	330	18	81	11751	1319	3308	313	8445	1005	2022-04-04
Undefined	35883	20499	797	60	160	129779	4195	32370	800	97395	3388	2022-04-04
Undefined (Pittsburgh)	32	28	0	0	0	92	9	16	0	76	9	2022-04-04
Upper Hill (Pittsburgh)	1317	2040	143	6	24	5256	454	1336	76	3921	378	2022-04-04
Upper Lawrenceville (Pittsburgh)	1861	2497	155	3	18	7014	589	1204	113	5800	476	2022-04-04
Upper Saint Clair	16594	19165	1027	36	108	53425	5474	12502	1564	40648	3828	2022-04-04
Verona	1627	2198	147	5	36	5637	641	1412	138	4227	503	2022-04-04
Versailles	926	1386	83	10	35	3222	427	812	75	2407	350	2022-04-04
Wall	311	506	64	4	10	966	164	244	41	726	123	2022-04-04
West Deer	7493	10349	612	38	132	25174	2789	8553	834	16587	1944	2022-04-04
West Elizabeth	251	386	10	1	3	790	118	294	31	496	87	2022-04-04
West End (Pittsburgh)	163	206	16	0	3	510	74	145	14	365	60	2022-04-04
West Homestead	1205	1713	143	3	27	4172	486	845	67	3326	419	2022-04-04
West Mifflin	12751	19455	1645	35	247	43994	5817	10362	1271	33633	4537	2022-04-04
West Oakland (Pittsburgh)	1673	4316	348	1	13	12471	494	1057	31	11416	463	2022-04-04
West View	4051	5115	375	7	47	12692	1605	3498	383	9149	1215	2022-04-04
Westwood (Pittsburgh)	2199	2834	174	5	33	6640	945	2051	259	4588	686	2022-04-04
Whitaker	703	1180	91	1	18	2572	338	672	40	1899	297	2022-04-04
White Oak	4860	7084	537	33	143	16170	2196	3749	431	12420	1762	2022-04-04
Whitehall	10686	19177	1473	74	188	39472	4395	8045	1173	31416	3207	2022-04-04
Wilkins	4176	5344	330	15	80	13955	1581	3355	418	10595	1156	2022-04-04
Wilkinsburg	10371	14323	1215	48	271	37936	3644	6695	509	31241	3132	2022-04-04
Wilmerding	1055	1752	168	4	29	3770	474	959	118	2814	356	2022-04-04
Windgap (Pittsburgh)	811	1071	58	3	11	2741	320	610	77	2125	242	2022-04-04
